Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
pig,tamworth,4,female,120.0,vomiting,diarrhea,appetite loss,fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,No,39.6,84,swine dysentery
dog,beagle,6,male,13.0,coughing,labored breathing,nasal discharge,fever,4 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.4,127,kennel cough
cat,russian blue,5,female,4.7,eye discharge,nasal discharge,sneezing,lethargy,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,38.6,145,feline respiratory infection
horse,shetland pony,11,male,300.0,lameness,swollen joints,appetite loss,weight loss,7 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.6,80,equine osteoarthritis
cow,holstein,7,female,650.0,coughing,nasal discharge,appetite loss,fever,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,39.4,79,bovine tuberculosis
rabbit,dutch,2,female,1.4,sneezing,nasal discharge,lethargy,loss of appetite,3 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,38.8,155,upper respiratory infection
sheep,lincoln,8,male,95.0,lethargy,swollen joints,fever,loss of appetite,6 days,No,Yes,No,Yes,Yes,No,Yes,No,Yes,39.9,75,footrot
goat,lamancha,5,female,72.0,diarrhea,loss of appetite,lethargy,dehydration,7 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.2,82,gastrointestinal infection
pig,poland china,3,male,110.0,fever,coughing,nasal discharge,weight loss,6 days,No,Yes,Yes,No,Yes,No,Yes,No,Yes,39.8,87,actinobacillus pleuropneumonia
dog,golden retriever,7,male,30.0,vomiting,diarrhea,loss of appetite,lethargy,6 days,Yes,No,Yes,Yes,No,No,Yes,No,No,39.5,118,canine parvovirus
cat,sphynx,4,male,5.2,vomiting,diarrhea,loss of appetite,lethargy,5 days,Yes,Yes,Yes,No,Yes,Yes,No,No,No,39.1,148,feline infectious peritonitis
horse,clydesdale,15,female,700.0,swollen joints,lameness,weight loss,lethargy,8 days,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.5,77,equine metabolic syndrome
cow,simmental,8,male,580.0,appetite loss,weight loss,fever,lethargy,6 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.3,80,bovine johne's disease
rabbit,mini rex,1,female,1.2,nasal discharge,lethargy,loss of appetite,sneezing,2 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.7,165,pasteurellosis
dog,rottweiler,5,female,42.0,lethargy,vomiting,loss of appetite,coughing,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.2,120,canine parvovirus
cat,bengal,3,male,5.5,nasal discharge,coughing,sneezing,lethargy,5 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,38.9,140,feline calicivirus
horse,thoroughbred,7,female,480.0,lameness,loss of appetite,swollen legs,fever,6 days,No,Yes,Yes,No,Yes,Yes,No,Yes,No,39.6,75,equine influenza
cow,angus,6,male,550.0,coughing,nasal discharge,fever,weight loss,7 days,Yes,No,Yes,Yes,Yes,No,Yes,No,No,39.4,82,bovine respiratory disease
rabbit,himalayan,2,male,1.6,nasal discharge,sneezing,lethargy,appetite loss,3 days,Yes,Yes,No,Yes,No,No,Yes,No,No,38.5,150,rabbit hemorrhagic disease
sheep,texel,4,female,85.0,lameness,swollen joints,loss of appetite,diarrhea,5 days,Yes,No,No,Yes,No,No,Yes,Yes,No,39.3,76,blue tongue virus
goat,alpine,5,male,72.0,vomiting,diarrhea,fever,loss of appetite,6 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.0,81,caprine arthritis encephalitis
pig,duroc,3,female,100.0,coughing,nasal discharge,loss of appetite,lethargy,4 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.5,88,swine influenza
dog,doberman pinscher,6,male,40.0,vomiting,lethargy,loss of appetite,coughing,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3,119,canine distemper
cat,siamese,4,female,4.2,nasal discharge,lethargy,loss of appetite,fever,6 days,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,38.8,145,feline leukemia virus
horse,pinto,9,male,530.0,lameness,coughing,loss of appetite,swollen legs,7 days,No,Yes,No,Yes,Yes,No,No,Yes,No,39.7,77,equine infectious anemia
cow,charolais,5,female,620.0,lethargy,coughing,nasal discharge,fever,4 days,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,39.6,81,bovine tuberculosis
rabbit,mini lop,1,female,1.2,nasal discharge,loss of appetite,lethargy,sneezing,2 days,Yes,Yes,Yes,Yes,No,No,Yes,No,No,38.7,155,myxomatosis
sheep,suffolk,6,male,90.0,swollen joints,loss of appetite,lethargy,coughing,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.4,78,caseous lymphadenitis
goat,boer,3,female,70.0,fever,vomiting,diarrhea,appetite loss,5 days,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,39.5,80,caprine pleuropneumonia
pig,landrace,5,male,120.0,coughing,nasal discharge,loss of appetite,lethargy,6 days,Yes,Yes,No,No,Yes,No,Yes,Yes,No,39.2,85,actinobacillus pleuropneumonia
dog,pit bull,4,female,35.0,lethargy,vomiting,loss of appetite,coughing,3 days,Yes,Yes,No,Yes,No,Yes,No,No,No,39.0,125,leptospirosis
cat,persian,5,male,5.0,eye discharge,nasal discharge,sneezing,lethargy,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,38.9,148,feline herpesvirus
horse,mustang,12,male,550.0,lameness,appetite loss,swollen legs,fever,5 days,No,Yes,Yes,No,Yes,No,Yes,No,Yes,39.6,80,equine laminitis
cow,hereford,7,female,580.0,loss of appetite,fever,coughing,lethargy,6 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,39.5,80,bovine johne's disease
rabbit,holland lop,3,male,1.3,nasal discharge,loss of appetite,lethargy,fever,4 days,Yes,Yes,No,No,Yes,No,Yes,Yes,No,38.6,160,rabbit syphilis
sheep,border leicester,5,male,90.0,lethargy,nasal discharge,swollen joints,loss of appetite,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,39.7,74,chlamydia in sheep
goat,nubian,6,female,60.0,vomiting,fever,loss of appetite,lethargy,5 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.3,82,caprine respiratory disease
pig,wessex saddleback,3,male,105.0,vomiting,fever,loss of appetite,lethargy,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.0,84,actinobacillus suis
dog,cocker spaniel,5,female,20.0,vomiting,lethargy,loss of appetite,fever,4 days,Yes,Yes,No,No,Yes,No,No,Yes,No,39.2,123,canine leptospirosis
cat,scottish fold,4,male,4.8,coughing,loss of appetite,fever,lethargy,5 days,Yes,No,Yes,No,No,Yes,No,Yes,Yes,38.8,147,feline chlamydia
horse,arabian,6,female,500.0,lameness,loss of appetite,swollen legs,coughing,6 days,No,Yes,Yes,Yes,No,No,Yes,Yes,No,39.4,79,equine west nile virus
cow,jersey,5,female,500.0,coughing,nasal discharge,lethargy,fever,5 days,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,39.5,81,bovine viral diarrhea
rabbit,english angora,2,male,1.5,sneezing,nasal discharge,loss of appetite,fever,3 days,Yes,No,No,Yes,Yes,No,Yes,No,No,38.9,153,myxomatosis
dog,german shepherd,4,female,45.0,lethargy,loss of appetite,coughing,fever,5 days,Yes,No,Yes,Yes,No,Yes,Yes,No,No,39.4,120,canine parvovirus
cat,maine coon,3,male,7.5,lethargy,vomiting,loss of appetite,diarrhea,4 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,39.1,148,feline infectious peritonitis
horse,clydesdale,9,male,850.0,lameness,coughing,loss of appetite,fever,6 days,No,Yes,Yes,No,Yes,No,Yes,Yes,No,39.2,79,equine rhinopneumonitis
cow,holstein,5,female,620.0,coughing,fever,loss of appetite,lethargy,7 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,39.3,82,bovine respiratory syncytial virus
rabbit,english spot,2,female,1.3,sneezing,nasal discharge,loss of appetite,fever,3 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,38.8,155,rabbit syphilis
sheep,finnsheep,4,male,70.0,coughing,lethargy,loss of appetite,swollen joints,5 days,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,39.0,75,scrapie
goat,saanen,5,female,65.0,vomiting,fever,diarrhea,loss of appetite,6 days,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,39.4,80,caprine pleuropneumonia
pig,tamworth,3,male,100.0,coughing,lethargy,nasal discharge,loss of appetite,4 days,Yes,Yes,No,Yes,Yes,No,Yes,No,No,39.6,85,porcine epidemic diarrhea
dog,poodle,6,male,25.0,lethargy,loss of appetite,coughing,fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3,110,canine distemper
cat,russian blue,3,female,4.8,nasal discharge,coughing,loss of appetite,lethargy,4 days,Yes,No,Yes,No,Yes,No,Yes,Yes,No,38.9,145,feline leukemia virus
horse,shetland pony,8,female,300.0,lameness,loss of appetite,swollen legs,fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.5,76,equine herpesvirus
cow,guernsey,7,male,590.0,coughing,lethargy,loss of appetite,swollen legs,6 days,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,39.1,78,bovine tuberculosis
rabbit,mini rex,1,female,1.1,sneezing,loss of appetite,fever,nasal discharge,2 days,Yes,Yes,No,Yes,No,No,Yes,No,No,38.7,160,myxomatosis
sheep,leicester longwool,6,male,95.0,swollen joints,loss of appetite,coughing,lethargy,5 days,Yes,No,Yes,No,Yes,No,No,Yes,No,39.4,74,chlamydia in sheep
goat,nigerian dwarf,2,female,55.0,vomiting,fever,loss of appetite,lethargy,4 days,Yes,Yes,No,Yes,No,No,Yes,No,Yes,39.2,82,caprine arthritis encephalitis
pig,large white,6,female,115.0,coughing,nasal discharge,loss of appetite,lethargy,7 days,Yes,No,Yes,Yes,Yes,No,Yes,No,No,39.7,83,swine influenza
dog,golden retriever,7,male,33.0,lethargy,vomiting,loss of appetite,fever,5 days,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,39.2,118,canine leptospirosis
cat,burmese,4,male,4.3,nasal discharge,coughing,loss of appetite,lethargy,3 days,Yes,No,No,Yes,No,Yes,Yes,No,Yes,39.0,150,feline calicivirus
horse,welsh pony,5,female,400.0,lameness,loss of appetite,swollen legs,fever,4 days,No,Yes,Yes,No,Yes,No,Yes,Yes,No,39.4,78,equine influenza
cow,aberdeen angus,6,female,620.0,coughing,fever,loss of appetite,lethargy,5 days,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,39.2,80,bovine respiratory disease
rabbit,himalayan,2,male,1.2,sneezing,loss of appetite,fever,nasal discharge,4 days,Yes,Yes,No,Yes,No,No,Yes,No,Yes,38.8,154,rabbit hemorrhagic disease
sheep,dorset,3,male,75.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,Yes,Yes,No,Yes,No,No,39.1,77,foot and mouth disease
goat,toggenburg,5,female,60.0,vomiting,diarrhea,loss of appetite,fever,4 days,Yes,Yes,Yes,No,Yes,No,Yes,No,No,39.6,81,caprine pleuropneumonia
pig,berkshire,4,male,95.0,coughing,loss of appetite,lethargy,nasal discharge,3 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,39.2,88,porcine reproductive and respiratory syndrome
dog,bulldog,5,female,18.0,lethargy,coughing,loss of appetite,fever,5 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.3,115,kennel cough
cat,siamese,6,male,5.5,coughing,loss of appetite,lethargy,fever,4 days,Yes,No,No,Yes,No,No,Yes,Yes,No,39.0,149,feline infectious peritonitis
horse,thoroughbred,8,female,550.0,lameness,loss of appetite,swollen legs,fever,5 days,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,39.2,77,equine herpesvirus
cow,ayrshire,4,male,630.0,coughing,lethargy,loss of appetite,swollen legs,6 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,39.1,79,bovine tuberculosis
dog,beagle,4,female,15.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,39.2,125,canine influenza
cat,bengal,3,male,5.0,nasal discharge,coughing,loss of appetite,fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.0,140,feline calicivirus
horse,arabian,7,female,500.0,lameness,loss of appetite,swollen legs,fever,6 days,No,Yes,Yes,Yes,No,Yes,Yes,No,No,39.3,85,equine protozoal myeloencephalitis
cow,jersey,5,male,560.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.1,79,bovine tuberculosis
rabbit,himalayan,2,male,1.2,sneezing,loss of appetite,nasal discharge,fever,3 days,Yes,No,Yes,Yes,No,No,Yes,No,Yes,38.7,155,rabbit hemorrhagic disease
sheep,suffolk,5,female,90.0,coughing,lethargy,loss of appetite,fever,4 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,39.2,72,foot and mouth disease
goat,boer,6,male,70.0,vomiting,diarrhea,loss of appetite,fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.4,80,caprine arthritis encephalitis
pig,duroc,4,female,105.0,coughing,loss of appetite,nasal discharge,lethargy,3 days,Yes,No,Yes,No,Yes,No,Yes,No,Yes,39.5,83,porcine respiratory disease complex
dog,chihuahua,3,male,6.0,lethargy,vomiting,loss of appetite,fever,2 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,39.0,118,canine parvovirus
cat,scottish fold,5,female,4.7,nasal discharge,coughing,loss of appetite,fever,6 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,38.9,150,feline infectious peritonitis
horse,mustang,8,male,550.0,lameness,loss of appetite,swollen legs,fever,7 days,No,Yes,Yes,Yes,Yes,No,No,Yes,No,39.1,87,equine influenza
cow,simmental,4,male,650.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,39.3,78,bovine respiratory syncytial virus
rabbit,mini lop,1,female,1.0,sneezing,loss of appetite,nasal discharge,fever,3 days,Yes,No,Yes,Yes,Yes,No,Yes,No,No,38.8,158,myxomatosis
sheep,karakul,5,male,80.0,swollen joints,coughing,loss of appetite,lethargy,4 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,39.4,75,scrapie
goat,angora,6,female,60.0,vomiting,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,39.6,83,caprine pleuropneumonia
pig,landrace,4,male,100.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,39.2,87,porcine epidemic diarrhea
dog,rottweiler,5,female,40.0,lethargy,vomiting,loss of appetite,fever,4 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,39.3,122,canine distemper
cat,abyssinian,3,male,4.6,nasal discharge,coughing,loss of appetite,fever,4 days,Yes,No,Yes,No,Yes,Yes,Yes,No,No,39.0,142,feline leukemia virus
horse,tennessee walking horse,6,female,600.0,lameness,swollen legs,loss of appetite,fever,6 days,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,39.4,82,equine rhinopneumonitis
cow,dexter,3,male,450.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.3,79,bovine viral diarrhea
rabbit,holland lop,1,male,1.0,sneezing,loss of appetite,nasal discharge,fever,3 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,38.9,153,rabbit syphilis
sheep,corriedale,4,female,95.0,swollen joints,coughing,loss of appetite,lethargy,5 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.1,76,blue tongue
goat,kiko,5,male,72.0,vomiting,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,39.5,80,caprine pleuropneumonia
pig,hampshire,3,female,105.0,coughing,loss of appetite,lethargy,nasal discharge,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.2,86,porcine respiratory disease complex
dog,golden retriever,7,male,30.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,39.0,130,canine distemper
cat,persian,6,female,4.2,nasal discharge,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.1,148,feline coronavirus
horse,standardbred,6,male,650.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.4,80,equine influenza
cow,charolais,3,male,700.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,39.2,77,bovine tuberculosis
dog,poodle,3,female,20.0,vomiting,diarrhea,lethargy,fever,4 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.0,120,parvovirus
cat,maine coon,5,male,8.5,coughing,loss of appetite,lethargy,fever,3 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.1,145,feline upper respiratory infection
horse,clydesdale,7,female,850.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,39.2,82,equine herpesvirus
cow,holstein,4,male,700.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,No,Yes,No,Yes,No,Yes,39.3,77,bovine respiratory disease
rabbit,dutch,2,male,1.8,sneezing,nasal discharge,loss of appetite,fever,4 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,39.0,150,rabbit viral hemorrhagic disease
sheep,southdown,6,female,80.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,Yes,No,Yes,Yes,No,No,39.3,74,contagious ecthyma
goat,nubian,4,male,72.0,vomiting,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.6,80,pneumonia
pig,berkshire,5,female,110.0,coughing,loss of appetite,nasal discharge,fever,5 days,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,39.2,85,swine influenza
dog,german shepherd,4,male,32.0,lethargy,vomiting,loss of appetite,fever,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,39.1,130,canine hepatitis
cat,sphynx,3,female,5.0,nasal discharge,loss of appetite,coughing,fever,4 days,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,39.0,155,feline rhinotracheitis
horse,andalusian,8,male,550.0,lameness,swollen legs,loss of appetite,fever,7 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,39.4,88,equine encephalomyelitis
cow,guernsey,5,female,450.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,39.0,78,bovine parainfluenza
rabbit,english angora,3,male,1.4,sneezing,nasal discharge,loss of appetite,fever,4 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,38.9,148,pasteurellosis
sheep,tunis,4,male,95.0,swollen joints,coughing,loss of appetite,lethargy,5 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.2,76,bluetongue virus
goat,boer,6,female,75.0,vomiting,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.7,82,caprine viral arthritis
pig,large white,4,male,120.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,39.1,86,actinobacillus pleuropneumonia
dog,bulldog,3,female,25.0,lethargy,vomiting,loss of appetite,fever,4 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.2,125,canine leptospirosis
cat,russian blue,2,male,6.0,nasal discharge,loss of appetite,coughing,fever,3 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.0,145,feline asthma
horse,thoroughbred,6,female,650.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,No,Yes,No,Yes,No,Yes,Yes,No,39.3,84,equine influenza virus
cow,red poll,4,male,680.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,39.4,77,bovine tuberculosis
rabbit,himalayan,2,female,1.1,sneezing,loss of appetite,nasal discharge,fever,3 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,38.8,150,rabbit calicivirus
sheep,romney,5,female,90.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,39.1,75,maedi-visna
goat,alpine,5,male,80.0,vomiting,diarrhea,loss of appetite,fever,4 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.5,80,caseous lymphadenitis
pig,pietrain,4,female,130.0,coughing,loss of appetite,lethargy,nasal discharge,6 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,39.2,88,swine erysipelas
dog,beagle,5,male,25.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,39.2,120,kennel cough
cat,bengal,3,female,6.0,nasal discharge,loss of appetite,coughing,fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.1,145,feline herpesvirus
horse,appaloosa,9,male,550.0,lameness,loss of appetite,swollen legs,fever,7 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.4,80,equine infectious anemia
cow,jersey,6,female,500.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.2,75,bovine viral diarrhea
rabbit,english lop,3,male,2.0,sneezing,nasal discharge,loss of appetite,fever,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,39.0,155,myxomatosis
sheep,blackface,4,male,95.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,39.3,77,blue tongue disease
goat,saanen,5,female,85.0,vomiting,diarrhea,lethargy,fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,39.6,85,caprine arthritis encephalitis
pig,landrace,6,male,120.0,coughing,loss of appetite,nasal discharge,fever,5 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,39.1,95,actinobacillus pleuropneumonia
dog,chihuahua,4,female,5.0,lethargy,vomiting,loss of appetite,fever,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,39.1,110,canine parvovirus
cat,siberian,7,male,10.2,nasal discharge,loss of appetite,coughing,fever,5 days,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,39.0,135,feline asthma
horse,clydesdale,7,female,800.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.5,85,equine leptospirosis
cow,ayrshire,5,male,720.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,39.3,82,bovine tuberculosis
rabbit,himalayan,4,female,1.6,sneezing,loss of appetite,nasal discharge,fever,5 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.0,145,pasteurellosis
sheep,suffolk,4,male,85.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.4,78,contagious abortion
goat,nubian,6,female,95.0,vomiting,diarrhea,lethargy,fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.8,80,pneumonia
pig,duroc,3,male,110.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.2,100,swine dysentery
