Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
dog,boxer,6,female,30.0,lethargy,vomiting,loss of appetite,fever,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.1,115,canine leptospirosis
cat,abyssinian,5,male,4.5,coughing,loss of appetite,nasal discharge,fever,3 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.0,140,feline respiratory disease complex
horse,morgan,5,male,550.0,lameness,loss of appetite,swollen legs,fever,6 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.2,80,equine herpesvirus
cow,belted galloway,4,female,650.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,39.4,75,bovine tuberculosis
rabbit,dutch,3,male,2.0,sneezing,loss of appetite,nasal discharge,fever,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.1,150,rabbit hemorrhagic disease
sheep,cheviot,3,female,75.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3,77,foot-and-mouth disease
goat,angora,4,male,90.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,39.6,82,caprine arthritis
pig,large white,5,female,130.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.0,90,swine flu
dog,yorkshire terrier,4,male,8.0,lethargy,vomiting,loss of appetite,fever,3 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.2,100,canine heartworm disease
cat,maine coon,6,female,10.0,coughing,loss of appetite,nasal discharge,fever,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,39.1,145,feline leukemia
horse,thoroughbred,6,male,550.0,lameness,loss of appetite,swollen legs,fever,5 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,39.5,78,equine influenza
dog,rottweiler,7,male,35.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,39.3,110,kennel cough
cat,persian,4,female,7.0,vomiting,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.1,125,feline infectious peritonitis
horse,clydesdale,10,female,750.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,39.4,90,equine encephalomyelitis
cow,holstein,8,male,650.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.5,80,bovine respiratory disease complex
rabbit,himalayan,3,male,1.8,sneezing,nasal discharge,loss of appetite,fever,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,39.0,140,rabbit viral hemorrhagic disease
sheep,rambouillet,5,female,90.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,39.3,78,scrapie
goat,boer,6,male,100.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.6,85,pneumonia
pig,berkshire,4,female,120.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.2,100,swine fever
dog,golden retriever,5,male,40.0,vomiting,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.2,130,canine parvovirus
cat,bengal,3,female,8.0,nasal discharge,loss of appetite,coughing,fever,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,39.0,145,feline panleukopenia
horse,arabian,7,male,450.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,39.4,85,equine protozoal myeloencephalitis
cow,jersey,6,female,550.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,39.6,70,johne's disease
rabbit,english angora,2,male,1.9,sneezing,loss of appetite,nasal discharge,fever,3 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,39.1,150,ringworm
sheep,suffolk,4,male,110.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,39.3,77,bluetongue
goat,nubian,7,female,120.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,39.7,85,foot-and-mouth disease
pig,tamworth,5,male,150.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,39.3,92,actinobacillus pleuropneumonia
dog,beagle,4,female,25.0,lethargy,vomiting,loss of appetite,fever,4 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,39.2,120,distemper
cat,siberian,5,male,11.0,coughing,loss of appetite,nasal discharge,fever,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.2,140,feline leukemia virus
horse,pinto,6,male,600.0,lameness,loss of appetite,swollen legs,fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.5,88,equine influenza
cow,ayrshire,7,female,550.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.4,75,bovine johne's disease
rabbit,mini rex,2,female,1.5,sneezing,loss of appetite,nasal discharge,fever,3 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,39.1,130,pneumonia
sheep,dorper,4,male,95.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.3,78,contagious ecthyma
goat,saanen,8,female,110.0,vomiting,diarrhea,lethargy,fever,6 days,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,39.8,85,caprine arthritis encephalitis
pig,landrace,6,female,130.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,39.2,110,swine influenza
dog,chihuahua,3,male,6.0,lethargy,vomiting,loss of appetite,fever,5 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,39.3,135,parvovirus
cat,burmese,4,female,7.5,coughing,loss of appetite,nasal discharge,fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.0,140,feline chlamydiosis
horse,appaloosa,8,male,700.0,lameness,loss of appetite,swollen legs,fever,7 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,39.3,82,west nile virus
cow,guernsey,5,female,600.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,39.6,85,bovine tuberculosis
dog,poodle,3,female,28.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.1,120,kennel cough
cat,maine coon,4,male,10.0,vomiting,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,39.0,140,feline leukemia virus
horse,thoroughbred,5,female,550.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,39.5,100,equine influenza
cow,charolais,8,male,700.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,39.2,75,bovine respiratory disease
rabbit,holland lop,2,male,1.5,sneezing,nasal discharge,loss of appetite,fever,4 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,39.3,130,pasteurellosis
sheep,blackface,6,male,95.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,39.4,80,foot-and-mouth disease
goat,kiko,4,female,90.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,39.6,85,caprine arthritis encephalitis
pig,large white,3,female,120.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,39.1,95,swine influenza
dog,beagle,4,male,20.0,lethargy,vomiting,loss of appetite,fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,39.2,130,canine distemper
cat,siamese,3,female,7.0,coughing,loss of appetite,nasal discharge,fever,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.0,140,feline infectious peritonitis
horse,clydesdale,8,male,800.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.6,85,equine encephalomyelitis
cow,simmental,7,female,650.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,39.3,75,bovine tuberculosis
rabbit,mini lop,1,female,1.3,sneezing,nasal discharge,loss of appetite,fever,3 days,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,39.1,140,myxomatosis
sheep,texel,5,male,110.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,39.4,70,scrapie
goat,angora,7,female,100.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,39.7,80,pneumonia
pig,landrace,5,male,130.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.2,90,actinobacillus pleuropneumonia
dog,dachshund,3,female,12.0,lethargy,vomiting,loss of appetite,fever,4 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,39.0,115,canine parvovirus
cat,bengal,4,male,10.0,vomiting,loss of appetite,lethargy,fever,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,39.2,145,feline panleukopenia
horse,arabian,6,male,500.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,39.3,85,equine protozoal myeloencephalitis
cow,jersey,6,male,550.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,39.5,70,bovine johne's disease
rabbit,himalayan,2,male,1.8,sneezing,loss of appetite,nasal discharge,fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.2,130,rabbit viral hemorrhagic disease
sheep,rambouillet,6,female,90.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,39.6,80,bluetongue
goat,boer,7,female,120.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.5,90,foot-and-mouth disease
pig,tamworth,4,female,150.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,39.4,85,swine erysipelas
dog,bulldog,5,female,22.0,coughing,lethargy,loss of appetite,fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,39.3,120,canine cough
horse,quarter horse,7,male,550.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.4,110,equine infectious anemia
cow,holstein,8,female,750.0,coughing,loss of appetite,lethargy,fever,7 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,39.5,85,bovine respiratory disease complex
rabbit,english angora,1,female,2.0,sneezing,loss of appetite,nasal discharge,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.2,120,respiratory infection
sheep,cheviot,4,male,85.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.3,95,blue tongue virus
goat,saanen,2,male,85.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,39.6,90,caprine arthritis encephalitis virus
pig,pietrain,3,female,135.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.4,95,african swine fever
dog,shih tzu,4,male,8.0,lethargy,vomiting,loss of appetite,fever,4 days,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,39.2,115,parvovirus
cat,abyssinian,2,female,6.0,coughing,loss of appetite,nasal discharge,fever,4 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,39.1,140,feline infectious peritonitis
horse,morgan,9,male,600.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.5,80,west nile virus
cow,angus,5,female,650.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,39.3,75,bovine tuberculosis
rabbit,himalayan,2,male,1.5,sneezing,loss of appetite,nasal discharge,fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,39.2,130,viral hemorrhagic disease
sheep,suffolk,6,female,120.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,39.5,80,scrapie disease
goat,toggenburg,5,female,75.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.7,85,pneumonia
pig,landrace,6,male,140.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,39.5,90,swine influenza
dog,cocker spaniel,2,female,10.0,lethargy,vomiting,loss of appetite,fever,3 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,39.0,125,distemper
cat,ragdoll,5,male,8.0,coughing,loss of appetite,nasal discharge,fever,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.2,145,feline leukemia virus
horse,clydesdale,7,male,700.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.6,85,equine encephalitis
cow,limousin,6,male,650.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.5,80,bovine respiratory disease complex
rabbit,mini rex,1,female,1.2,sneezing,nasal discharge,loss of appetite,fever,3 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,39.0,130,rabbit hemorrhagic disease
sheep,merino,7,male,90.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.4,90,bluetongue
goat,alpine,6,male,110.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.6,90,caprine arthritis encephalitis virus
pig,berkshire,4,female,120.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.4,85,swine erysipelas
dog,rottweiler,3,female,30.0,lethargy,vomiting,loss of appetite,fever,5 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.2,120,leptospirosis
cat,bengal,4,male,7.0,coughing,loss of appetite,nasal discharge,fever,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,39.1,135,feline immunodeficiency virus
horse,thoroughbred,5,male,550.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.5,110,equine infectious anemia
cow,jersey,3,female,600.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,39.4,95,bovine respiratory disease
sheep,dorset,6,male,120.0,coughing,loss of appetite,lethargy,fever,7 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,39.5,85,scrapie
goat,nubian,2,female,80.0,vomiting,diarrhea,lethargy,fever,4 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.7,90,caprine arthritis encephalitis
pig,tamworth,3,male,160.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,39.5,105,swine influenza
horse,clydesdale,6,male,700.0,lameness,swollen legs,loss of appetite,fever,7 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,39.6,115,equine herpesvirus
cow,angus,4,female,650.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.5,90,bovine tuberculosis
rabbit,himalayan,2,male,1.6,sneezing,loss of appetite,nasal discharge,fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,39.2,130,rabbit hemorrhagic disease
sheep,suffolk,7,male,130.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,39.3,85,bluetongue virus
goat,alpine,3,female,75.0,vomiting,diarrhea,lethargy,fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.7,95,caprine arthritis encephalitis
pig,berkshire,5,male,140.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.5,100,african swine fever
dog,chihuahua,2,male,6.0,lethargy,vomiting,loss of appetite,fever,3 days,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,39.3,130,canine distemper
cat,maine coon,6,male,9.0,coughing,loss of appetite,nasal discharge,fever,5 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,39.4,140,feline herpesvirus
horse,arabian,7,female,550.0,lameness,swollen legs,loss of appetite,fever,7 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.7,100,equine infectious anemia
cow,charolais,8,female,750.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.3,80,bovine respiratory disease
rabbit,dutch,1,female,1.4,sneezing,loss of appetite,nasal discharge,fever,3 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,39.2,130,rabbit viral hemorrhagic disease
sheep,hampshire,6,male,125.0,coughing,loss of appetite,lethargy,fever,7 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.6,85,scrapie disease
goat,nubian,4,male,80.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,39.6,90,caprine respiratory disease
pig,large white,6,female,130.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.4,95,swine fever
dog,beagle,2,male,10.0,lethargy,vomiting,loss of appetite,fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.4,120,canine leptospirosis
cat,persian,4,female,7.0,coughing,loss of appetite,nasal discharge,fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,39.0,130,feline asthma
horse,percheron,5,male,680.0,lameness,swollen legs,loss of appetite,fever,5 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.4,105,equine laminitis
cow,holstein,3,male,700.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.2,90,bovine mastitis
cow,guernsey,3,male,580.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.4,85,bovine respiratory disease
sheep,dorset,4,male,125.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,39.3,80,scrapie
goat,saanen,3,female,75.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,39.5,90,caprine arthritis encephalitis
pig,landrace,4,male,130.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.6,100,swine flu
sheep,cheviot,3,female,110.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,Yes,No,Yes,Yes,No,No,Yes,No,39.4,80,bluetongue
goat,boer,5,male,85.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,39.6,95,goat pox
pig,yorkshire,2,female,120.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,39.5,105,porcine epidemic diarrhea virus
horse,morgan,4,male,650.0,lameness,swollen legs,loss of appetite,fever,6 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,39.6,120,equine herpesvirus
cow,ayrshire,3,female,700.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,39.4,90,bovine respiratory disease
goat,kiko,4,female,70.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,39.5,90,caprine arthritis encephalitis
pig,chester white,3,male,150.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,39.7,105,swine influenza
dog,boxer,3,female,30.0,lethargy,vomiting,loss of appetite,fever,4 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,39.3,120,canine infectious hepatitis
cat,maine coon,5,male,8.0,coughing,loss of appetite,nasal discharge,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,39.0,135,feline panleukopenia virus
horse,arabian,6,female,650.0,lameness,swollen legs,loss of appetite,fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,39.5,110,equine metabolic syndrome
cow,jersey,2,male,550.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,39.2,95,bovine mastitis
cow,simmental,4,female,700.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,39.4,100,bovine respiratory disease
sheep,suffolk,3,male,110.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,39.3,80,bluetongue
goat,toggenburg,2,female,70.0,vomiting,diarrhea,lethargy,fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,39.4,90,caprine arthritis encephalitis
pig,tamworth,3,male,130.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.6,105,swine influenza
cow,dexter,2,male,500.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.4,95,bovine tuberculosis
sheep,cheviot,4,female,120.0,coughing,loss of appetite,lethargy,fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.4,85,scrapie
goat,alpine,3,male,75.0,vomiting,diarrhea,lethargy,fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,39.5,100,caprine viral arthritis
pig,large white,2,female,120.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.6,110,porcine circovirus disease
goat,nubian,4,female,80.0,vomiting,diarrhea,lethargy,fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.5,95,caprine respiratory disease
pig,berkshire,5,male,145.0,coughing,loss of appetite,lethargy,fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,39.7,110,swine fever
sheep,dorset,5,male,150.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.5,90,scrapie
sheep,southdown,6,male,130.0,coughing,loss of appetite,lethargy,fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.3,80,foot-and-mouth disease
dog,golden retriever,5,male,35.0,coughing,lethargy,loss of appetite,fever,4 days,Yes,Yes,No,Yes,No,No,No,Yes,No,39.2,110,canine parvovirus
dog,labrador,4,male,30.0,vomiting,loss of appetite,lethargy,fever,5 days,Yes,Yes,No,Yes,No,No,No,Yes,No,39.2,100,canine parvovirus
cat,persian,3,female,5.0,coughing,sneezing,nasal discharge,fever,4 days,Yes,Yes,No,Yes,No,No,No,Yes,No,39.1,110,feline calicivirus
horse,arabian,5,male,450.0,lameness,loss of appetite,swollen legs,fever,7 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.4,110,equine infectious anemia
horse,clydesdale,6,male,700.0,lameness,swollen legs,loss of appetite,fever,7 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,39.4,125,equine herpesvirus
